time,seconds_elapsed,z,y,x
1772796361213211600,0.064211669921875,-0.365640069308877,-0.04383044696338474,-0.49214025084823365
1772796361223203800,0.074203857421875,-0.10882979255318641,-0.0546929825656116,-0.5459530895784497
1772796361233197000,0.084197021484375,0.19671499675512313,-0.03011982845366001,-0.6362611370131374
1772796361243188700,0.094188720703125,0.39268940427601334,-0.036279227866232396,-0.7100500113233924
1772796361253180700,0.1041806640625,0.43760289723575113,-0.031844460289180275,-0.542767518344894
1772796361263174000,0.114173828125,0.41221769608855247,-0.04846095630824566,-0.34790479839295146
1772796361273165800,0.124165771484375,0.38596623350083825,-0.05535955671556294,-0.17794753324724732
1772796361283158800,0.13415869140625,0.35673955449461936,0.0025091332767158744,-0.09658617785610259
1772796361293151000,0.14415087890625,0.2455664136856794,0.11638649154305457,-0.1578939023863524
1772796361303144000,0.15414404296875,0.07907061410546302,0.24454065083451568,-0.24892452847454696
1772796361313135900,0.164135986328125,-0.10784195055961608,0.381811451908946,-0.33667368520665913
1772796361323127800,0.1741279296875,-0.3016226474285126,0.4947124394237995,-0.2663549346923828
1772796361333120800,0.184120849609375,-0.5080570741653442,0.4856427785877138,-0.20401538289636373
1772796361343113000,0.194113037109375,-0.5268389315247536,0.4392013454083353,-0.1529858547417447
1772796361353105700,0.204105712890625,-0.4385626821786165,0.3975921546909958,-0.10698361669722944
1772796361363097900,0.214097900390625,-0.4491588949948549,0.31566498211063443,-0.07257555299773812
1772796361373089800,0.22408984375,-0.5806003323286771,0.1779931990198791,-0.09341112801656126
1772796361383082800,0.234082763671875,-0.5713344913333654,0.07573993531279266,-0.05830390307176858
1772796361393074700,0.24407470703125,-0.5207856228351593,-0.016314005941152572,-0.05437960576750338
1772796361403068000,0.25406787109375,-0.5393108750849962,-0.1553231020502746,-0.06932663420438766
1772796361413059800,0.264059814453125,-0.47084582614600656,-0.20608064486309885,-0.027285993267223238
1772796361423051800,0.2740517578125,-0.4435790490359068,-0.23309023234173654,0.09714233216783032
1772796361433045000,0.284044921875,-0.45283729124665256,-0.2406285188920796,0.14961835107002405
1772796361443036700,0.29403662109375,-0.48864860934019083,-0.32409093821570273,0.16771850977558642
1772796361453030000,0.30402978515625,-0.5682032075703144,-0.4242103316992521,0.22061551230251789
1772796361463021800,0.314021728515625,-0.6500321804732084,-0.48096010066419836,0.4097577357158065
1772796361473014800,0.324014892578125,-0.7782458879321813,-0.5019995276920497,0.5446768225649371
1772796361483007000,0.334007080078125,-0.904380451029539,-0.49333705941736694,0.5618850008668378
1772796361492999000,0.3439990234375,-0.8640636382102965,-0.4395820883542299,0.5731985316395759
1772796361502992000,0.353991943359375,-0.8762889135330915,-0.4553260393224656,0.5750761255471035
1772796361512983800,0.36398388671875,-0.9974036026418208,-0.5487077951140702,0.5803151587117463
1772796361522976800,0.373976806640625,-1.0997779354453086,-0.6765449974108487,0.6140510587707162
1772796361532968700,0.38396875,-1.1610334913969038,-0.7620943060111254,0.6213009568337351
1772796361542961000,0.3939609375,-1.223076398333907,-0.8349166733767837,0.6505338463850319
1772796361552953900,0.403953857421875,-1.2713128982365132,-0.8422164019308984,0.6765553726743906
1772796361562945800,0.41394580078125,-1.2474585599184036,-0.8551900844682008,0.6526078761801123
1772796361572939000,0.42393896484375,-1.1440139675348997,-0.8288726439721882,0.6162120361968875
1772796361582930700,0.4339306640625,-0.9726029233843088,-0.7941314393281936,0.5868971674505621
1772796361592923000,0.4439228515625,-0.8623755389928818,-0.7830889440491795,0.6230141174271703
1772796361602915800,0.453915771484375,-0.90353932403028,-0.7385813284765929,0.5926430906914174
1772796361612907800,0.46390771484375,-0.9390525359600782,-0.7300842068314551,0.5917507449615746
1772796361622901000,0.47390087890625,-0.9094991092175245,-0.7167624415088445,0.5762212404616177
1772796361632893000,0.483892822265625,-0.8509037123858928,-0.6305993849243968,0.5526581036424264
1772796361642886000,0.493885986328125,-0.7308627899885177,-0.5309425674512982,0.5400095248736441
1772796361652877800,0.5038779296875,-0.6491746868610382,-0.5073408887200057,0.4574570600017905
1772796361662870000,0.5138701171875,-0.5540531016647815,-0.49723406685590743,0.39071393948458133
1772796361672862700,0.52386279296875,-0.5396493132591247,-0.47674204457774755,0.2857540471673012
1772796361682855000,0.53385498046875,-0.6516220800131559,-0.484068734204024,0.06878576879333705
1772796361692847900,0.543847900390625,-0.7162099952578544,-0.4914228963591158,-0.13589465388301758
1772796361702839800,0.55383984375,-0.664291007450223,-0.3969070219710469,-0.27337745374031364
1772796361712832000,0.56383203125,-0.4910673609197139,-0.33396533956341445,-0.34323388397246596
1772796361722824700,0.57382470703125,-0.23899989477694034,-0.2896232167508453,-0.3796993185931816
1772796361732817000,0.58381689453125,0.010814239481091498,-0.2616077401652932,-0.3800331171248108
1772796361742809900,0.593809814453125,0.20841770950853825,-0.23029672916568814,-0.3187391288589686
1772796361752801800,0.6038017578125,0.3820318166613579,-0.20162972986884414,-0.279240171761252
1772796361762793700,0.613793701171875,0.5165396558284759,-0.1655884024117142,-0.21467856000158936
1772796361772787000,0.623786865234375,0.6141022044360638,-0.09912946913074701,-0.1334724317047745
1772796361782779000,0.63377880859375,0.6659095485627651,-0.07129855533186345,-0.07673621634114533
1772796361792771800,0.643771728515625,0.6762070706933736,-0.05050981512945145,-0.014666275266744196
1772796361802764000,0.653763916015625,0.6413847636371851,-0.045023784933798015,0.017939561316370964
1772796361812756700,0.6637568359375,0.5882908868312835,-0.026648206820338964,0.022964038414880632
1772796361822749000,0.6737490234375,0.4771913957804441,-0.04998476834204048,0.01724124032128602
1772796361832740900,0.683740966796875,0.34939328338503833,-0.06197232591882348,0.027376630692742765
1772796361842733800,0.69373388671875,0.2586871765434742,-0.015277100641466677,0.07747282352000474
1772796361852725800,0.703725830078125,0.17243395745754242,0.02244947648886591,0.10161014349795877
1772796361862718700,0.71371875,0.03356149334013462,0.06921221404448151,0.11725783101748674
1772796361872711000,0.7237109375,-0.10202712680101395,0.07882851244527846,0.1162266248062253
1772796361882702800,0.733702880859375,-0.1907774233996868,0.09342581412903964,0.15145919316373765
1772796361892695800,0.74369580078125,-0.23580022195279596,0.08258757271785289,0.2096482742168009
1772796361902687700,0.753687744140625,-0.2893663924455643,0.06823167857453227,0.1990342700155452
1772796361912681000,0.763680908203125,-0.342810397863388,0.0335613837422803,0.1814934987584129
1772796361922672600,0.773672607421875,-0.3956938467890024,-0.015361892848089337,0.16833328067306427
1772796361932664800,0.783664794921875,-0.47488078075051304,-0.0445443673864007,0.09331318406742066
1772796361942658000,0.793657958984375,-0.5037859727174043,-0.08580500039439648,0.0007097557045519352
1772796361952649700,0.803649658203125,-0.40715865913331506,-0.1373353542106226,-0.07265334920799359
1772796361962643000,0.813642822265625,-0.24875381155014037,-0.22876232267264276,-0.09723422996867448
1772796361972635000,0.823634765625,-0.12186346164941787,-0.2891762036357075,-0.15046408117916435
1772796361982627800,0.8336279296875,-0.08977730155885219,-0.3191001441910863,-0.15847372983461244
1772796361992619800,0.843619873046875,-0.07817278848290443,-0.3172952136609703,-0.10208557898998259
1772796362002612000,0.853612060546875,-0.08227204049527645,-0.29317860767748205,-0.06866550341453403
1772796362012605000,0.86360498046875,-0.07172726560533046,-0.2646531357431784,0.0028801220135763286
1772796362022596900,0.873596923828125,-0.0694599051952362,-0.26446703858654946,0.03494518451718613
1772796362032589800,0.88358984375,-0.04327566262483597,-0.2855440211458132,0.05547394034285098
1772796362042581800,0.893581787109375,-0.022500585621595383,-0.2957025001319125,0.032415355512313546
1772796362052574000,0.903573974609375,-0.030327333724498747,-0.30692955819759515,0.021972123034391552
1772796362062566700,0.913566650390625,-0.0236935947984457,-0.3180287520999089,0.018504300793353468
1772796362072558800,0.923558837890625,-0.006309913799166679,-0.3372210168911144,0.018484755842667074
1772796362082552000,0.933552001953125,0.0350263051956892,-0.3216088025437668,0.006071173139847815
1772796362092543700,0.943543701171875,0.0761000738620758,-0.30656982150711115,0.03137357310811058
1772796362102537000,0.953536865234375,0.10941489896476268,-0.25799429890848696,0.09402251964686438
1772796362112529000,0.96352880859375,0.11386252602338791,-0.19059757332075386,0.10924135076245292
1772796362122520800,0.973520751953125,0.13301847739219666,-0.12471775510199368,0.08597085848059505
1772796362132514000,0.98351416015625,0.15090309365093707,-0.08213570076450705,0.14423516019433735
1772796362142506200,0.99350634765625,0.18638824853003025,-0.03245334943514317,0.14472334557008
1772796362152499200,1.003499267578125,0.17030454421341418,0.03270677620694041,0.1365354360045865
1772796362162491100,1.0134912109375,0.06740238814353942,0.06501001311428845,0.09418784801010043
1772796362172483300,1.0234833984375,-0.08439151686728,0.057849948759190736,0.017426844287570565
1772796362182476000,1.03347607421875,-0.21523907996118066,0.05784443233385682,-0.029094211732968688
1772796362192468200,1.04346826171875,-0.2534545365869999,0.11916344544310122,-0.01593331779418513
1772796362202461000,1.0534609375,-0.24057985744476318,0.11606851163506507,-0.006724705145135522
1772796362212453000,1.063453125,-0.18763328015506267,0.07685633558947592,-0.030639285750500855
1772796362222445000,1.073445068359375,-0.14214695574343203,0.04146243919041007,-0.02619122030045837
1772796362232438000,1.08343798828125,-0.0746229870468378,0.014237711123749613,-0.033941359503194685
1772796362242430200,1.09343017578125,-0.05661912832260132,-0.037747108461707826,-0.07919416741989553
1772796362252423200,1.103423095703125,-0.09596621932685374,-0.1190322933441028,-0.14565697315838186
1772796362262415000,1.1134150390625,-0.10526011737287044,-0.16861834469214082,-0.21619565003365276
1772796362272408000,1.123407958984375,-0.06008242051899433,-0.1670093751255423,-0.2748450603411533
1772796362282400300,1.133400146484375,-0.05140110141336918,-0.1958560053056106,-0.2956802335011773
1772796362292392000,1.143391845703125,-0.039890696361660954,-0.22836283849366007,-0.3195373300319537
1772796362302385200,1.15338525390625,0.0023100305080413818,-0.24502467149179427,-0.3354886036079377
1772796362312377000,1.163377197265625,0.009339490753412246,-0.24776622528489678,-0.3549042653588578
1772796362322370000,1.1733701171875,-0.02510755324959755,-0.265518374270387,-0.4027834397237748
1772796362332362200,1.1833623046875,-0.024713000974059103,-0.27971557072065767,-0.41820900892522184
1772796362342354200,1.193354248046875,-0.009527122280001639,-0.28887550365608183,-0.4010776587191969
1772796362352347100,1.20334716796875,0.01416647251844406,-0.2902481802487746,-0.3670844228982925
1772796362362339000,1.213339111328125,0.0406990901350975,-0.290080239803344,-0.3117150023758411
1772796362372332000,1.22333203125,0.08030103268325328,-0.30477639875169843,-0.26971631915057076
1772796362382324200,1.23332421875,0.11652268514335155,-0.3183107108464464,-0.21581854208325965
1772796362392316200,1.243316162109375,0.09393909741342067,-0.3232340291254222,-0.22278039871882646
1772796362402309000,1.25330908203125,0.033173370805382726,-0.2900533152638003,-0.22812647245451806
1772796362412301000,1.263301025390625,0.05616612385809421,-0.2591897923033684,-0.1576849906097166
1772796362422294000,1.2732939453125,0.09221183522939681,-0.21846666370555756,-0.011678126301430164
1772796362432286000,1.283285888671875,0.1715752948015928,-0.206272002716735,0.1317121988329105
1772796362442279200,1.293279052734375,0.22797931906878946,-0.19001155359372496,0.20983214288372545
1772796362452271000,1.30327099609375,0.2391314122021198,-0.14785919591039418,0.25766415363866835
