time,seconds_elapsed,z,y,x
1772556254248433000,0.066432861328125,-0.06742961704730988,-0.14800572395324707,-0.14989061653614044
1772556254258424800,0.0764248046875,-0.058159422129392624,-0.18892225623130798,-0.1339116394519806
1772556254268417800,0.086417724609375,-0.05170731619000435,-0.23844589293003082,-0.11643525213003159
1772556254278409700,0.09640966796875,-0.03352085500955582,-0.28514546155929565,-0.09786423295736313
1772556254288402700,0.106402587890625,-0.020916908979415894,-0.3357934057712555,-0.07508330047130585
1772556254298394600,0.11639453125,-0.011305825784802437,-0.35752028226852417,-0.06384715437889099
1772556254308387800,0.126387939453125,0.005756711587309837,-0.36583977937698364,-0.05568342283368111
1772556254318379800,0.1363798828125,0.03893756866455078,-0.3610279858112335,-0.057542841881513596
1772556254328372700,0.146372802734375,0.07467757910490036,-0.3301374912261963,-0.07479988783597946
1772556254338365000,0.156364990234375,0.10689890384674072,-0.29942992329597473,-0.10825265198945999
1772556254348357600,0.166357666015625,0.13224580883979797,-0.28708508610725403,-0.15648473799228668
1772556254358349800,0.176349853515625,0.15432234108448029,-0.27771472930908203,-0.20228497684001923
1772556254368342800,0.1863427734375,0.17459379136562347,-0.23866133391857147,-0.24129550158977509
1772556254378334700,0.196334716796875,0.18673302233219147,-0.17445358633995056,-0.2651158571243286
1772556254388328000,0.206327880859375,0.17921239137649536,-0.11472976952791214,-0.28587257862091064
1772556254398319600,0.216319580078125,0.15401941537857056,-0.1091403216123581,-0.312070369720459
1772556254408312800,0.226312744140625,0.13139678537845612,-0.14500142633914948,-0.32642021775245667
1772556254418304800,0.2363046875,0.1180194690823555,-0.19497351348400116,-0.31658223271369934
1772556254428297700,0.246297607421875,0.1269892007112503,-0.21998460590839386,-0.30297964811325073
1772556254438291000,0.256291015625,0.17057928442955017,-0.20197391510009766,-0.29994550347328186
1772556254448282600,0.26628271484375,0.26019686460494995,-0.13613839447498322,-0.32464295625686646
1772556254458274800,0.27627490234375,0.3713683784008026,-0.06924112141132355,-0.3797277808189392
1772556254468267800,0.286267822265625,0.4769429564476013,-0.0005720676854252815,-0.43560099601745605
1772556254478260700,0.2962607421875,0.5488978028297424,0.09050831198692322,-0.4938584268093109
1772556254488253000,0.3062529296875,0.5678403377532959,0.2069760262966156,-0.5294389724731445
1772556254498245600,0.31624560546875,0.534654974937439,0.3327193260192871,-0.5627710819244385
1772556254508237800,0.32623779296875,0.45526406168937683,0.43441399931907654,-0.5929239392280579
1772556254518230800,0.336230712890625,0.36174237728118896,0.48766523599624634,-0.6061180233955383
1772556254528222700,0.34622265625,0.27746742963790894,0.5094546675682068,-0.6065154671669006
1772556254538216000,0.3562158203125,0.19830338656902313,0.4851522445678711,-0.6002926826477051
1772556254548207900,0.366207763671875,0.1098211258649826,0.40644335746765137,-0.5887720584869385
1772556254558200800,0.376200927734375,0.012644506990909576,0.2787274718284607,-0.5753870010375977
1772556254568192800,0.38619287109375,-0.07739989459514618,0.1299409121274948,-0.5505875945091248
1772556254578185700,0.396185791015625,-0.14732331037521362,0.007909550331532955,-0.5172150135040283
1772556254588177700,0.406177734375,-0.16993503272533417,0.008411334827542305,-0.47024938464164734
1772556254598171000,0.4161708984375,-0.16197244822978973,0.07698799669742584,-0.40826672315597534
1772556254608162800,0.426162841796875,-0.13528524339199066,0.10582994669675827,-0.3283504843711853
1772556254618155800,0.43615576171875,-0.07929866760969162,0.22717157006263733,-0.21599064767360687
1772556254628148000,0.44614794921875,0.00290127145126462,0.3634067177772522,-0.07414010912179947
1772556254638140700,0.456140625,0.09098000079393387,0.4594208598136902,0.08499361574649811
1772556254648132900,0.4661328125,0.18759235739707947,0.5163000822067261,0.24448539316654205
1772556254658125300,0.476125244140625,0.2863386571407318,0.5335358381271362,0.3813686966896057
1772556254668117500,0.486117431640625,0.3868562579154968,0.5043944120407104,0.48243963718414307
1772556254678110500,0.4961103515625,0.47263455390930176,0.44358623027801514,0.514639675617218
1772556254688102400,0.506102294921875,0.5274458527565002,0.318913996219635,0.4825951159000397
1772556254698095600,0.516095703125,0.54524827003479,0.1773989498615265,0.3875732421875
1772556254708087600,0.526087646484375,0.5276041626930237,0.07365207374095917,0.24910293519496918
1772556254718080500,0.53608056640625,0.49113914370536804,-0.01929650828242302,0.09790729731321335
1772556254728072400,0.546072509765625,0.4289368689060211,-0.07671000808477402,-0.03414904698729515
1772556254738065400,0.5560654296875,0.3504774868488312,-0.08681883662939072,-0.12385097146034241
1772556254748057300,0.566057373046875,0.2596987187862396,-0.05001262202858925,-0.15695036947727203
1772556254758050600,0.576050537109375,0.17221225798130035,0.016184240579605103,-0.14222575724124908
1772556254768042500,0.58604248046875,0.10246141254901886,0.10835174471139908,-0.09222260862588882
1772556254778035500,0.596035400390625,0.06570339947938919,0.17957772314548492,-0.022066159173846245
1772556254788027600,0.606027587890625,0.05743201822042465,0.21187731623649597,0.05743812769651413
1772556254798020400,0.616020263671875,0.07376625388860703,0.1988115906715393,0.1281605064868927
1772556254808012500,0.626012451171875,0.09941534698009491,0.14972415566444397,0.1804543286561966
1772556254818005500,0.636005615234375,0.1314355880022049,0.09758958220481873,0.20535622537136078
1772556254827997400,0.64599755859375,0.15643197298049927,0.09762772917747498,0.20814654231071472
1772556254837990400,0.655990478515625,0.16350293159484863,0.13216999173164368,0.19346186518669128
1772556254847982300,0.665982421875,0.15177278220653534,0.1955394297838211,0.16667409241199493
1772556254857975600,0.6759755859375,0.1272309422492981,0.28036004304885864,0.13511855900287628
1772556254867967500,0.685967529296875,0.1022176668047905,0.35213643312454224,0.10433569550514221
1772556254877960400,0.69596044921875,0.09429290145635605,0.37463614344596863,0.08594763278961182
1772556254887952400,0.705952392578125,0.11415588855743408,0.35807690024375916,0.10091204941272736
1772556254897945300,0.7159453125,0.16071780025959015,0.37847140431404114,0.15942835807800293
1772556254907937500,0.7259375,0.22521549463272095,0.4377008378505707,0.2480493038892746
1772556254917930200,0.73593017578125,0.2819187045097351,0.5202124714851379,0.33651605248451233
1772556254927922400,0.74592236328125,0.3284676671028137,0.5956348180770874,0.3986564874649048
1772556254937915600,0.75591552734375,0.35820209980010986,0.6198882460594177,0.40875229239463806
1772556254947907300,0.7659072265625,0.3701780140399933,0.6246692538261414,0.37064433097839355
1772556254957900500,0.775900634765625,0.3447698652744293,0.5104950070381165,0.2744709253311157
1772556254967892500,0.785892578125,0.30014094710350037,0.23779357969760895,0.131874680519104
1772556254977885400,0.795885498046875,0.2620987594127655,0.06720852851867676,-0.007339393720030785
1772556254987877400,0.80587744140625,0.22532235085964203,-0.024467283859848976,-0.13007545471191406
1772556254997870300,0.815870361328125,0.16831819713115692,-0.10645882785320282,-0.22224558889865875
1772556255007862300,0.8258623046875,0.08458413928747177,-0.22066959738731384,-0.2731468379497528
1772556255017855500,0.83585546875,-0.008029148913919926,-0.3404974639415741,-0.26076897978782654
1772556255027847400,0.845847412109375,-0.10585923492908478,-0.4435545802116394,-0.21193957328796387
1772556255037840400,0.85584033203125,-0.18870031833648682,-0.5479779243469238,-0.1410914957523346
1772556255047832600,0.86583251953125,-0.24301782250404358,-0.6580722332000732,-0.06168506667017937
1772556255057825500,0.875825439453125,-0.26618465781211853,-0.7183457016944885,0.05797209218144417
1772556255067817500,0.8858173828125,-0.2768918573856354,-0.6582291126251221,0.20199596881866455
1772556255077810400,0.895810546875,-0.28984972834587097,-0.5459704399108887,0.3472021520137787
1772556255087802400,0.90580224609375,-0.32144638895988464,-0.453355073928833,0.46455875039100647
1772556255097795600,0.915795654296875,-0.3630140721797943,-0.395221471786499,0.5393861532211304
1772556255107788500,0.92578857421875,-0.3986884355545044,-0.3794589638710022,0.5680322051048279
1772556255117780500,0.935780517578125,-0.43394923210144043,-0.39147064089775085,0.547476589679718
1772556255127773400,0.9457734375,-0.42269623279571533,-0.47058406472206116,0.5161863565444946
1772556255137765400,0.955765380859375,-0.30256956815719604,-0.6141965985298157,0.5586240887641907
